id,word_representation,outwear,top,trousers,women dresses,women skirts
0,w7718 w173355 w138132 w232277 w90685 w314686 w256905 w292000 w217871 w148650 w220790 w207614 w20894 w247655 w500010 w136109 w172358 w66535 w80220 w255783 w15393,1,0,1,0,0
1,w195317 w127737 w171593 w22890 w342007 w217871 w289824 w500005 w85858 w241910 w194870 w192814 w127834 w263923 w241910,1,0,1,0,0
2,w247655 w270233 w261113 w337250 w366000 w378735 w500012 w306830 w200253 w29840 w339655 w209018 w384021 w1867 w120979 w292000 w30585 w173688 w85858 w221983 w127234,0,1,1,0,0
3,w279289 w395855 w61795 w286461 w308610 w27013 w272605 w287214 w15393 w217871 w751 w393636 w317227 w368487 w319927 w70969,1,0,1,0,0
4,w254516 w135431 w115724 w331534 w256214 w71240 w356796 w326106 w34893 w175250 w217578 w186076 w349078 w26969 w241910,1,0,1,0,0
5,w53495 w306061 w372126 w47982 w66980 w189406 w71392 w217871 w127234 w301260 w51947 w336335 w217871 w128523 w500123 w221983 w103141 w105773 w318673 w380347 w201668,1,0,0,0,1
6,w237465 w256553 w286461 w382662 w206066 w121255 w244532 w163007 w233699 w277040 w365489 w333968 w250138,1,0,0,1,0
7,w173317 w39222 w207614 w136665 w394246 w197783 w193800 w500179 w66980 w392147 w373260 w322219 w245476 w52265 w217871 w30555 w296675 w207614 w34893 w113598 w338587 w267311 w186076 w222433 w34893 w383444 w115724 w71240 w311583 w89538 w317619 w112319 w165609 w173915 w314686,1,1,1,0,0
8,w373517 w37419 w358253 w162965 w286461 w204762 w387063 w225898 w251288 w374393 w305202 w342007 w311583 w218102 w365001 w126056 w351537 w111939,1,0,0,0,0
9,w230409 w109269 w369689 w186076 w377961 w217871 w286596 w62255 w52101 w324129 w171593 w115724 w36882 w270233 w223897 w19283 w260920 w81461 w105773 w375163 w71220 w217871 w327774 w90685 w34893 w382355 w374393 w116217 w383444 w115724 w342007,1,1,0,0,0
10,w210717 w371473 w227401 w66980 w369717 w133157 w186648 w33992 w305137 w8052 w39218 w8992 w320081 w317619 w18330 w23859 w197783 w193800 w36882,0,1,0,0,0
11,w304300 w236555 w365489 w15393 w256905 w292000 w217871 w148650 w220790 w207614 w20894 w247655 w500010 w136109 w92187 w241910,1,0,1,0,0
12,w318673 w361433 w90685 w236919 w3366 w1867 w120979 w338587 w305244 w197783 w228759 w264045,0,1,1,0,0
13,w365885 w123298 w366000 w217871 w147343 w34893 w289496 w32497 w358149 w280384 w225739 w292000 w101837 w321187 w368918 w392167,1,0,0,0,0
14,w80884 w385278 w34893 w121255 w42500 w186076 w327774 w381413 w34893 w317619 w18330 w395130 w165609 w279541 w70673 w336335 w342007 w39222 w311583 w318673 w87179 w10065 w78283 w364496 w98699 w272693,1,0,1,0,0
15,w371004 w500024 w27013 w30571 w144920 w337551 w69002 w203431 w133070 w241910 w222757 w217871 w114650 w353783 w256214 w71240,1,0,1,0,0
16,w342153 w133512 w310983 w1867 w120979 w70597 w317814 w22890 w1867 w120979 w237465 w256553 w218713 w243012 w194870 w115114 w107942,0,1,0,0,0
17,w155034 w256553 w374089 w368487 w276473 w349210 w223408 w12685 w186076 w240587 w334524 w217871 w255783 w173688 w85858 w364496 w241910 w186076 w240587,0,0,1,0,0
18,w366000 w500157 w7718 w500013 w282225 w188064 w338476 w80220 w36882 w217871 w343216 w41051 w195913 w304300 w116057 w15393 w334392 w365489 w194870 w5328 w383674 w215985,1,1,0,0,0
19,w41024 w237465 w256553 w95569 w174897 w103096 w237465 w256553 w34504 w186076 w151648 w194870 w290970 w158353 w138576 w232277 w15393 w217871 w34893 w156065 w39218 w298077 w115724 w36882,1,1,0,0,0
20,w142023 w356690 w186076 w373517 w6691 w275199 w374393 w286461 w81482 w111709 w42402 w158110 w185790 w36882 w186076 w5713 w195317 w356690 w186076 w398645 w232128 w236919 w314686,0,1,1,0,0
21,w194870 w164832 w203992 w105773 w194870 w152498 w286461 w305244 w94172 w280823 w250138 w311583 w120502 w142655 w47586 w150404 w138132 w250138,0,0,0,1,0
22,w63426 w197783 w250138 w239332 w264542 w240587 w194870 w294269 w69057 w374393 w106327 w270233 w374393 w247655 w204698 w34893 w253845 w20297 w310983 w500080,1,0,0,1,0
23,w127737 w34893 w386149 w276577 w94172 w388086 w267864 w123298 w34893 w48776 w193800 w104709 w384021 w186076 w194870 w115724 w500582,1,1,1,0,0
24,w324348 w169896 w250138 w254429 w366000 w217871 w147343 w34893 w358149 w280384 w225739 w292000 w101837 w500630 w395130 w165609 w198149 w241910,0,0,1,1,0
25,w146650 w254429 w342153 w66980 w34893 w338587 w146650 w398736 w34893 w51530 w43233 w173688 w384021 w33992 w34893 w173688 w133005 w70856 w290610 w250138,0,1,0,1,0
26,w186494 w270233 w223897 w330842 w185379 w68193 w36882 w34893 w286596 w102030 w380494 w241910 w207614 w34893 w82341 w111498,0,1,1,0,0
27,w194870 w371640 w217871 w301260 w204762 w230346 w390639 w197783 w193800 w256214 w36882 w218713 w225739 w250693 w91672 w84391 w66980 w318673 w290970 w115549 w213509 w500021,1,1,0,0,0
28,w194870 w393987 w39222 w174897 w195317 w271715 w286461 w82341 w89538 w500013 w296780 w27377 w115724 w36882 w275199 w111248 w200253 w397626 w121255 w193800 w120979 w322219 w357832 w186076 w66980 w194870 w189105,0,1,0,0,0
29,w305957 w254429 w155034 w287643 w45765 w128292 w359340 w66980 w111411 w231526 w388086 w268930 w202056 w120200 w33992 w239044 w107401 w94486 w320917 w347032 w120979 w15393,1,1,0,0,0
30,w194870 w300261 w184773 w221585 w318673 w234583 w113935 w382662 w8992 w116919 w221983 w39218 w360226 w82660 w33992,0,1,0,0,1
31,w153315 w115724 w172823 w71240 w254429 w19283 w302297 w207614 w293558 w113361 w204762 w281259 w36882,1,1,0,0,0
32,w194870 w371640 w360297 w301260 w388185 w173643 w197783 w232774 w86601 w15393 w218713 w225739 w250693 w91672 w84391 w66980 w318673 w334993 w380494 w14299 w40863 w314686,1,0,1,0,0
33,w500049 w239044 w302766 w129473 w500050 w338587 w295317 w171593 w1867 w120979 w217871 w267098 w276473 w263923 w2470 w241910 w186076 w79880,0,1,1,0,0
34,w34893 w39809 w138132 w256214 w384021 w336335 w292000 w305137 w182664 w384857 w47586 w235668 w240587 w305925 w207614 w386149 w20894 w121255 w193800 w331534 w1867 w120979,1,1,0,0,0
